tournament,date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,lam_home,lam_away,w_ens
WC 2018,2018-07-10,France,Belgium,1,0,0.3585796087185794,0.27841487078122606,0.36300552050019463,1.2616096719740493,1.2671022997883328,0.6000000000000001
WC 2018,2018-07-11,Croatia,England,2,1,0.27239423458211814,0.31562293594541196,0.4119828294724701,0.8767262284698347,1.1412802630397207,0.6000000000000001
WC 2018,2018-07-14,Belgium,England,2,0,0.365589183324463,0.29158202022013674,0.34282879645540026,1.1968037996200867,1.140926071974345,0.6000000000000001
WC 2018,2018-07-15,France,Croatia,4,2,0.4443188758913232,0.29824647795157744,0.2574346461570995,1.277712865043874,0.9021716069118615,0.6000000000000001
EURO 2020,2021-06-11,Italy,Turkey,3,0,0.6947763098548222,0.19587324779608234,0.10935044234909531,2.1054755529479,0.6914250815166563,0.55
EURO 2020,2021-06-12,Russia,Belgium,0,3,0.21659405600558274,0.2276160882585533,0.555789855735864,1.1292335410226781,1.9223388553411163,0.55
EURO 2020,2021-06-12,Denmark,Finland,0,1,0.7705972085073431,0.15728730097963198,0.07211549051302477,2.4536057603224775,0.594160599289135,0.55
EURO 2020,2021-06-12,Wales,Switzerland,1,1,0.33055607573212165,0.3044009545810243,0.3650429696868541,1.0373736219557053,1.1055518166604603,0.55
EURO 2020,2021-06-13,England,Croatia,1,0,0.6833368117938451,0.20108694022223828,0.11557624798391668,2.0521562541740925,0.7180127069532618,0.55
EURO 2020,2021-06-13,Netherlands,Ukraine,3,2,0.6702360556557596,0.20230219516712308,0.12746174917711728,2.0884030656291075,0.780612188300638,0.55
EURO 2020,2021-06-13,Austria,North Macedonia,3,1,0.3876185250818521,0.2938151114172872,0.31856636350086065,1.2070891920133617,1.0793423771093558,0.55
EURO 2020,2021-06-14,Scotland,Czech Republic,0,2,0.44649782353513423,0.27497174856950696,0.2785304278953587,1.403853596413239,1.0686887450276454,0.55
EURO 2020,2021-06-14,Poland,Slovakia,1,2,0.4351168721398746,0.28987611089699783,0.27500701696312757,1.2990407113215263,0.9737022003200739,0.55
EURO 2020,2021-06-14,Spain,Sweden,0,0,0.6469693718229407,0.2208045018090559,0.1322261263680034,1.921873630137683,0.7141268171862476,0.55
EURO 2020,2021-06-15,Hungary,Portugal,0,3,0.24537065149640425,0.2723911317669479,0.48223821673664785,0.9786431277733938,1.5143582597761425,0.55
EURO 2020,2021-06-15,Germany,France,0,1,0.38792162497197735,0.2577298005978238,0.35434857443019874,1.4686622037641646,1.3807953290912187,0.55
EURO 2020,2021-06-16,Italy,Switzerland,3,0,0.5887069147076259,0.23840006410568032,0.17289302118669353,1.7860117363621462,0.8444331418855503,0.55
EURO 2020,2021-06-16,Russia,Finland,1,0,0.5494757515750854,0.2474242345884941,0.2031000138364203,1.7056390113270083,0.9272833446604503,0.55
EURO 2020,2021-06-16,Turkey,Wales,0,2,0.37021255907933426,0.3136668010060822,0.3161206399145836,1.083458570142314,0.9678205158254529,0.55
EURO 2020,2021-06-17,Denmark,Belgium,1,2,0.41712589097810315,0.2685196536043172,0.3143544554175798,1.4246896902305362,1.2131889923555672,0.55
EURO 2020,2021-06-17,Ukraine,North Macedonia,2,1,0.39596219603861205,0.2986924190008353,0.30534538496055263,1.1823951482194355,1.0306460497253176,0.55
EURO 2020,2021-06-17,Netherlands,Austria,2,0,0.6716555982483075,0.19866102653712006,0.1296833752145725,2.1290009849804306,0.8223750541017156,0.55
EURO 2020,2021-06-18,Croatia,Czech Republic,1,1,0.39149455183205,0.28011336926191566,0.3283920789060344,1.3050584732536936,1.1607282048651073,0.55
EURO 2020,2021-06-18,England,Scotland,0,0,0.7035322348784661,0.19674738980422435,0.09972037531730951,2.0645393215756864,0.6173075631372581,0.55
EURO 2020,2021-06-18,Sweden,Slovakia,1,0,0.45686045896032323,0.2945160520209944,0.24862348901868214,1.2942504780043254,0.8707726042698525,0.55
